s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 6.3895641E+001, 0.0000000E+000, 0.0000000E+000,-2.3142111E-009,-1.2411076E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6535917E-008,-3.5553187E-009, 0.0000000E+000, 0.0000000E+000
 6.4510559E+001, 0.0000000E+000, 0.0000000E+000,-2.3713073E-009,-1.2520780E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6439617E-008,-3.6233853E-009, 0.0000000E+000, 0.0000000E+000
 6.5181381E+001, 0.0000000E+000, 0.0000000E+000,-2.4291912E-009,-1.2630111E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6613663E-008,-3.6922023E-009, 0.0000000E+000, 0.0000000E+000
 6.5796303E+001, 0.0000000E+000, 0.0000000E+000,-2.4877882E-009,-1.2738957E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6559077E-008,-3.7616839E-009, 0.0000000E+000, 0.0000000E+000
 6.6467117E+001, 0.0000000E+000, 0.0000000E+000,-2.5471054E-009,-1.2848119E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6660520E-008,-3.8319173E-009, 0.0000000E+000, 0.0000000E+000
 6.7082039E+001, 0.0000000E+000, 0.0000000E+000,-2.6071593E-009,-1.2956989E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6503606E-008,-3.9028582E-009, 0.0000000E+000, 0.0000000E+000
 6.7752861E+001, 0.0000000E+000, 0.0000000E+000,-2.6679827E-009,-1.3064473E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6575831E-008,-3.9744300E-009, 0.0000000E+000, 0.0000000E+000
 6.8423683E+001, 0.0000000E+000, 0.0000000E+000,-2.7321366E-009,-1.3177093E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6557089E-008,-4.0498460E-009, 0.0000000E+000, 0.0000000E+000
 6.9038597E+001, 0.0000000E+000, 0.0000000E+000,-2.7941751E-009,-1.3284601E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6607163E-008,-4.1226352E-009, 0.0000000E+000, 0.0000000E+000
 6.9709419E+001, 0.0000000E+000, 0.0000000E+000,-2.8567101E-009,-1.3392774E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6567501E-008,-4.1959875E-009, 0.0000000E+000, 0.0000000E+000
 7.0324341E+001, 0.0000000E+000, 0.0000000E+000,-2.9195562E-009,-1.3500980E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6553208E-008,-4.2696542E-009, 0.0000000E+000, 0.0000000E+000
